36	45	42	45	36	36	20
40	38	36	36	35	38	45
45	48	42	36	48	20	20
45	45	45	40	49	36	40
48	45	36	36	40	40	40
38	36	35	40	40	40	37
48	48	45	45	45	40	40
36	36	36	36	36	36	36
48	50	45	45	48	45	40
48	50	45	45	50	20	45
45	50	45	48	45	45	37
45	40	50	45	40	40	40
40	45	38	40	40	45	1.5
45	38	48	35	30	40	40
40	45	45	45	40	40	40
48	40	45	46	1.5	40	40
36	36	36	36	36	36	36
47	42	36	36	40	40	40
48	50	45	45	50	45	45
42	50	45	45	50	42	41
48	42	40	45	45	40	42
48	50	45	40	40	45	1.5
41	45	40	40	45	42	48
40	40	37	35	36	1.5	37
36	42	38	40	33	1.5	40
48	48	40	36	41	1.5	45
40	47	40	42	40	45	38
48	45	42	45	36	45	40
45	42	45	40	40	42	40
45	45	45	40	45	40	40
		45				
